address_id,address,address2,district,city_id,postal_code,phone,location,last_update
472,"1447 Chatsworth Place",,Chihuahua,129,41545,769370126331,...,"2014-09-25 22:32:04"
473,"1257 Guadalajara Street",,Karnataka,78,33599,195337700615,...,"2014-09-25 22:31:14"
474,"1469 Plock Lane",,Galicia,388,95835,622884741180,...,"2014-09-25 22:33:09"
476,"270 Tambaram Parkway",,Gauteng,244,9668,248446668735,...,"2014-09-25 22:33:03"
478,"1078 Stara Zagora Drive",,Aceh,301,69221,932992626595,...,"2014-09-25 22:31:33"
483,"632 Usolje-Sibirskoje Parkway",,"Ha Darom",36,73085,667648979883,...,"2014-09-25 22:31:41"
485,"984 Novoterkassk Loop",,Gaziantep,180,28165,435118527255,...,"2014-09-25 22:33:25"
486,"64 Korla Street",,Mwanza,347,25145,510383179153,...,"2014-09-25 22:33:17"
489,"1297 Alvorada Parkway",,Ningxia,587,11839,508348602835,...,"2014-09-25 22:30:49"
502,"1515 Korla Way",,England,589,57197,959467760895,...,"2014-09-25 22:33:42"
517,"548 Uruapan Street",,Ontario,312,35653,879347453467,...,"2014-09-25 22:33:38"
529,"600 Purnea (Purnia) Avenue",,"Nghe An",571,18043,638409958875,...,"2014-09-25 22:34:07"
531,"1986 Sivas Place",,"Friuli-Venezia Giuli",551,95775,182059202712,...,"2014-09-25 22:31:44"
537,"958 Sagamihara Lane",,Mie,287,88408,427274926505,...,"2014-09-25 22:31:50"
550,"1715 Okayama Street",,"São Paulo",485,55676,169352919175,...,"2014-09-25 22:30:22"
553,"1421 Quilmes Lane",,Ishikawa,260,19151,135407755975,...,"2014-09-25 22:31:49"
560,"1447 Imus Place",,Gujarat,426,12905,62127829280,...,"2014-09-25 22:31:25"
562,"869 Shikarpur Way",,England,496,57380,590764256785,...,"2014-09-25 22:33:40"
566,"1229 Varanasi (Benares) Manor",,"Buenos Aires",43,40195,817740355461,...,"2014-09-25 22:30:04"
568,"1342 Sharja Way",,"Sokoto & Kebbi & Zam",488,93655,946114054231,...,"2014-09-25 22:32:27"
571,"1746 Faaa Way",,Huánuco,214,32515,863080561151,...,"2014-09-25 22:32:33"
576,"1351 Sousse Lane",,"Coahuila de Zaragoza",341,37815,203804046132,...,"2014-09-25 22:32:10"
577,"1501 Pangkal Pinang Avenue",,Mazowieckie,409,943,770864062795,...,"2014-09-25 22:32:43"
579,"521 San Juan Bautista Tuxtepec Place",,Qaraghandy,598,95093,844018348565,...,"2014-09-25 22:31:56"
584,"1819 Alessandria Loop",,Campeche,103,53829,377633994405,...,"2014-09-25 22:32:02"
585,"1208 Tama Loop",,Ninawa,344,73605,954786054144,...,"2014-09-25 22:31:40"
586,"951 Springs Lane",,"Central Mindanao",219,96115,165164761435,...,"2014-09-25 22:32:37"
598,"42 Fontana Avenue",,Fejr,512,14684,437829801725,...,"2014-09-25 22:31:09"
